"사업코드","사업명","준공여부구분","준공여부","계획공정율","실적공정율","대비율","기준일자","총공기","경과일","D-Day","도급액(억원)","사업비(억원)","공사기간","공사위치","위도","경도","발주처 담당자명","책임감리원 명","현장대리인 명","발주처 기관명","감리사 업체명","시공사 업체명","사업규모","웹카메라 RTSP 주소","계약정보 링크주소","집행정보 링크주소","조감도 이미지 링크주소","공사개요 웹페이지","자치구코드","자치구명"
"6242024110199","송파나루공원 관리사무소 신축 공사(건축,기계 분야)","0","준공","100","100","100","20250621","180","180","0","10.85","10.84753","2024-11-15~2025-05-13","서울 송파구 잠실동 47","37.50903619165893","127.1029126348244","김미라","","김용훈(현장대리인)","송파구","","정석티엠에스 주식회사","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=6242024110199","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=6242024110199","18","송파구"
"6242024121999","보행녹지를 연계한 가로변(완충녹지) 쉼터 조성사업","0","준공","100","100","100","20250621","160","160","0","1.47","1.468459","2024-12-23~2025-05-31","서울 송파구 가락동 101-8","37.4902490323816","127.12064367855","최진숙","","김영미(현장대리인)","송파구","","주식회사 풍경조경","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=6242024121999","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=6242024121999","18","송파구"
"6242025032077","2025년 배전선로 근접 가로수 가지치기 공사(전기)","0","준공","100","100","100","20250621","25","25","0","0.29","0.29","2025-03-24~2025-04-17","서울특별시 송파구 올림픽로 326","37.51458371944687","127.10591770866108","안소영","","","송파구","","","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=6242025032077","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=6242025032077","18","송파구"
"6242025032594","2025년 도로굴착복구공사(연간단가)","1","진행    ","29.82","29.82","100","20250621","275","82","193","11.12","11.122267","2025-04-01~2025-12-31","서울특별시 송파구 올림픽로 326","37.51458371944687","127.10591770866108","서효종","","박찬웅(현장대리인)","송파구","","이본건설(주)","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=6242025032594","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=6242025032594","18","송파구"
"6252024121098","2024년 하반기 명일근린공원 보수정비 공사","0","준공","100","100","100","20250621","120","120","0","1.36","1.359452","2024-12-11~2025-04-09","서울 강동구 상일동 산 58","37.55212289334311","127.162989501102","김휘규","","최슬기(공무직)","강동구","","더블유조경 주식회사","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=6252024121098","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=6252024121098","02","강동구"
"6252025031499","2025년 하수도구조물 정비공사(연간단가)","1","진행    ","33.45","33.45","100","20250621","290","97","193","12.46","12.462026","2025-03-17~2025-12-31","서울특별시 강동구 성내로 25","37.530193319622605","127.123792501253","최성열","","조하경(공사담당)","강동구","","창진공영 주식회사","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=6252025031499","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=6252025031499","02","강동구"
"6252025051475","강동형 안심귀갓길 디자인 확산사업 전기공사","1","진행    ","93.1","93.1","100","20250621","29","27","2","0.4","0.39881","2025-05-26~2025-06-23","서울특별시 강동구 성내로 25","37.530193319622605","127.123792501253","이지희","","","강동구","","","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=6252025051475","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=6252025051475","02","강동구"
"6252025051989","샛마을근린공원 어르신놀이터 조성사업","1","진행    ","53.33","53.33","100","20250621","60","32","28","0.88","0.8788825","2025-05-21~2025-07-19","서울 강동구 명일동 288","37.5498037664393","127.147901857504","전성관","","","강동구","","","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=6252025051989","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=6252025051989","02","강동구"
"7022024110799","소하공영차고지 재조성사업","0","준공","100","100","100","20250621","176","176","0","0.86","0.8574749","2024-11-07~2025-05-01","경기 광명시 소하동 1054-6","37.4267551832536","126.880878654676","서진석","","안미재(시공자(공무?공사))","서울시설공단","","주식회사 삼호포장건설","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7022024110799","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7022024110799","26","서울지역외"
"7022024112999","서울어린이대공원 생태연못 주변 정비공사","0","준공","100","100","100","20250621","151","151","0","0.71","0.7117062","2024-11-29~2025-04-28","서울특별시 광진구 능동로 216","37.5499772549675","127.080235171998","노태성","","김진미(시공자(공무?공사))","서울시설공단","","(주)대영녹화산업","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7022024112999","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7022024112999","06","광진구"
