위도,경도,역명
37.4877,126.9135,신대방역
37.4998,126.9282,신대방삼거리역
37.5089,126.8913,신도림역
37.4843,126.9297,신림역
37.5443,126.8831,신목동역
37.5035,126.9961,신반포역
37.5675,126.8172,신방화역
37.5164,127.0203,신사역
37.576,127.0245,신설동역
37.5293,126.968,신용산역
37.6018,127.0674,신이문역
37.525,126.8561,신정역
37.5202,126.8529,신정네거리역
37.5552,126.937,신촌역
37.492,126.8238,온수역
37.5163,127.131,올림픽공원역
37.5522,127.0896,아차산역
37.5574,126.9561,아현역
37.5765,126.9854,안국역
37.5863,127.0292,안암역
37.5502,127.1275,암사역
37.5572,127.1376,암사역사공원역
37.5265,127.0285,압구정역
37.5275,127.0406,압구정로데오역
37.5534,126.9567,애오개역
37.5545,127.0109,약수역
36.9638,129.0913,양원역
37.4846,127.0342,양재역
37.5124,126.8657,양천구청역
37.5681,126.842,양천향교역
37.5985,126.9155,응암역
37.5568,126.9464,이대역
37.5073,127.034,언주역
37.5271,126.933,여의나루역
37.5218,126.9244,여의도역
37.5007,127.0365,역삼역
37.6062,126.9228,역촌역
37.6192,126.9211,연신내역
37.547,126.8749,염창역
37.5157,126.9079,영등포역
37.5258,126.8967,영등포구청역
37.5227,126.9052,영등포시장역
37.5021,127.128,오금역
37.4944,126.8448,오류동역
37.5245,126.8753,오목교역
37.5416,127.0174,옥수역
37.5702,126.9832,종각역
37.5613,127.0371,왕십리역
37.5963,127.0637,외대앞역
37.5737,127.0867,용마산역
37.5301,126.9648,용산역
37.5488,126.8363,우장산역
37.6333,127.0589,월계역
37.6018,127.0415,월곡역
37.5696,126.8991,월드컵경기장역
37.5663,126.991,을지로3가역
37.5666,126.9976,을지로4가역
37.566,126.9822,을지로입구역
37.55,127.0345,응봉역
37.4868,126.9822,이수역
37.5224,126.9735,이촌역
37.5316,127.0668,자양역
37.5133,127.1002,잠실역
37.5207,127.1038,잠실나루역
37.5116,127.0863,잠실새내역
37.5129,127.0114,잠원역
37.5049,126.9391,장승배기역
37.4786,127.1262,장지역
37.5616,127.0637,장한평역
37.6026,127.0135,정릉역
37.5782,127.0349,제기동역
37.4931,127.1183,가락시장역
37.4804,126.8827,가산디지털단지역
37.5614,126.8544,가양역
37.6415,127.0168,가오리역
37.5688,126.9148,가좌역
37.6702,127.0791,불암산역
37.5316,127.0668,뚝섬유원지역
